bin_index,bin_left,bin_right,bin_center,pairs_1_98_normalized,pnimit_normalized,pairs_1_98_count,pnimit_count
75,74.70703125,75.703125,75.205078125,0.003187131989840207,0.0033339912324063677,368450.0,212621.0
76,75.703125,76.69921875,76.201171875,0.0032565404498387895,0.0034109037998148236,376474.0,217526.0
77,76.69921875,77.6953125,77.197265625,0.003306269916006767,0.003445416452386895,382223.0,219727.0
78,77.6953125,78.69140625,78.193359375,0.0033872608695170777,0.0035315804805029936,391586.0,225222.0
79,78.69140625,79.6875,79.189453125,0.003422510056268601,0.0036121622713107516,395661.0,230361.0
80,79.6875,80.68359375,80.185546875,0.0035072465061871103,0.003714869165607466,405457.0,236911.0
81,80.68359375,81.6796875,81.181640625,0.0035612058747652706,0.0037754740734634662,411695.0,240776.0
82,81.6796875,82.67578125,82.177734375,0.0036098194771072493,0.0038254162808428606,417315.0,243961.0
83,82.67578125,83.671875,83.173828125,0.003651149689205109,0.0039244069104146405,422093.0,250274.0
84,83.671875,84.66796875,84.169921875,0.0037146847264296345,0.003977485206169508,429438.0,253659.00000000003
85,84.66796875,85.6640625,85.166015625,0.0037790934244791665,0.003994090794117632,436884.0,254717.99999999997
86,85.6640625,86.66015625,86.162109375,0.0038339437540966907,0.004076256309555004,443225.0,259958.0
87,86.66015625,87.65625,87.158203125,0.0038835002181211026,0.00412547721660804,448954.0,263097.0
88,87.65625,88.65234375,88.154296875,0.003938809003419076,0.004175733032824982,455348.00000000006,266302.0
89,88.65234375,89.6484375,89.150390625,0.003991557356992276,0.004214965498402139,461445.99999999994,268804.0
90,89.6484375,90.64453125,90.146484375,0.00404580217910732,0.004262038184917977,467717.00000000006,271806.0
91,90.64453125,91.640625,91.142578125,0.004128081998587195,0.004294449658278483,477229.0,273873.0
92,91.640625,92.63671875,92.138671875,0.004172898203877905,0.004365419338215418,482410.0,278399.0
93,92.63671875,93.6328125,93.134765625,0.004235741232528167,0.004367050104170663,489674.99999999994,278503.0
94,93.6328125,94.62890625,94.130859375,0.004296343883419253,0.004443570660532185,496681.0,283383.0
95,94.62890625,95.625,95.126953125,0.004341635844604769,0.0044922897934451455,501917.0,286490.0
96,95.625,96.62109375,96.123046875,0.004379185959865717,0.004541040287241861,506258.0,289599.0
97,96.62109375,97.6171875,97.119140625,0.004437254129353564,0.004579065358794461,512971.0,292024.0
98,97.6171875,98.61328125,98.115234375,0.004496913918562217,0.00460093957521338,519868.0,293419.0
99,98.61328125,99.609375,99.111328125,0.004509370072898951,0.004639936834162376,521308.0,295906.0
100,99.609375,100.60546875,100.107421875,0.004564229052623653,0.004706092618442963,527650.0,300125.0
101,100.60546875,101.6015625,101.103515625,0.00459865647919324,0.004728907661374523,531630.0,301580.0
102,101.6015625,102.59765625,102.099609375,0.004610827179993091,0.004739695805386147,533037.0,302268.0
